matter_id,file_number,intro_date,agenda_date,passed_date,body,matter_type,status,requester,enactment_number,action_type_ai,clean_title,summary,topic_tags,geography,raw_title,notes,tag_status
46971,202000845,2020-06-24,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,,0190-2020,emergency ordinance,Transfer $2.07M from General Fund surplus for Council budget recommendations,"Transfers $2.07 million to fund eviction prevention, youth programs, police oversight, arts initiatives, and community safety programs.",budget|human services|public safety,citywide,"ORDINANCE (EMERGENCY), dated 6/24/2020, submitted by Patrick A. Duhaney, City Manager, AUTHORIZING the transfer and appropriation of $2,070,000 from the unappropriated surplus of the General Fund to various operating budget accounts within the General Fund, according to the attached Schedule of Transfer, for the purpose of implementing CouncilÆs recommended changes to the MayorÆs FY 2021 General Fund Operating Budget Update in order to provide funding as follows: Mortar, $85,000; Eviction Prevention, $250,000; Summer Youth Employee Initiative, $200,000; allocation of non-personnel resources to the Citizen Complaint Authority, $50,000; allocation of personnel resources to the City ManagerÆs Office, Office of Performance and Data Analytics for a Cincinnati Police Department (CPD) Continuous Improvement Program, $240,000; ArtsWave Black and Brown Artists Fund, $75,000; ChildrenÆs Home Job Readiness Program, $100,000; allocation of non-personnel resources to the City ManagerÆs Office for the Community Safety Response Program, $1,000,000; and Neighborhood Community Councils, $70,000.",,success
46972,202000846,2020-06-24,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,,0203-2020,emergency ordinance,"Transfer $200,000 to support African American Chamber of Commerce during COVID-19","Transfers $200,000 from General Fund surplus to support African American Chamber of Commerce during COVID-19 pandemic.",economic development|budget,citywide,"ORDINANCE (EMERGENCY), dated 6/24/2020, submitted by Patrick A. Duhaney, City Manager, AUTHORIZING the transfer and appropriation of $200,000 from the unappropriated surplus of the General Fund to the Department of Economic Inclusions General Fund operating budget account no. 050x281x7400 for the purpose of implementing Council’s recommended changes to the Mayor’s FY 2021 General Fund Operating Budget Update in order to provide funding for the African American Chamber of Commerce to combat the demise of Black owned businesses in the City of Cincinnati due to the COVID-19 pandemic.  (MS. KEARNEY IS EXCUSED FROM VOTING ON THIS ITEM).",,success
46973,202000847,2020-06-24,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,,,emergency ordinance,Expand summer jobs fund to year-round youth employment program with $1M transfer,Renames and expands youth summer jobs fund to year-round program with $1 million police budget transfer.,labor and workforce|budget|human services,citywide,"ORDINANCE (EMERGENCY) submitted by Patrick A. Duhaney, City Manager, on 06/24/2020, AMENDING Ordinance No. 0238-1968, which established Citizen Summer Job Fund 308 to provide summer jobs for the youth of the community, to change the name of the fund to Citizens Jobs Fund 308 and expand the purpose to provide jobs for the youth of the community regardless of season; and further AUTHORIZING the return to the unappropriated surplus of the General Fund  the sum of $1,015,000 from various Cincinnati Police Department operating budget accounts and the transfer of $1,015,000 from the unappropriated surplus of the General Fund to the Department of Recreation Citizens Jobs Fund 308 operating budget account according to the attached Schedule of Transfer, for the purpose of implementing CouncilÆs recommended changes to the MayorÆs FY 2021 General Fund Operating Budget Update in order to provide funding for youth employment opportunities.",,success
46974,202000852,2020-06-24,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0207-2020,emergency ordinance,Authorize continuation of human services and violence prevention funding if HUD waiver denied,Authorizes city manager to maintain human services and violence prevention funding if HUD CDBG waiver is denied.,human services|budget|public safety,citywide,"ORDINANCE (EMERGENCY) submitted by Patrick A. Duhaney, City Manager, on 06/24/2020, AUTHORIZING the City Manager to take all necessary action to ensure continuation of authorized levels of human services and violence prevention funding as provided in the FY 2021 budget in the unlikely event that  the City does not receive an anticipated waiver from the U.S. Department of Housing and Urban Development (HUD) regarding use of Community Development Block Grant Program (CDBG) funds for Human Services and Violence Prevention services; and further AUTHORIZING the City Administration to work with each of the human services and violence prevention agencies awarded funding under the FY 2021 Operating and Capital budgets to show HUD that the existing programs and services for each organization comply with all CDBG regulations and requirements.",,success
46975,202000853,2020-06-24,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0224-2020,emergency ordinance,Correcting Emergency Solutions Grant Program plan dates from 2020-2024 to 2015-2019,Corrects the dates in the Emergency Solutions Grant Program from 2020-2024 to 2015-2019 and 2019.,budget|housing,citywide,"ORDINANCE (EMERGENCY) submitted by Patrick A. Duhaney, City Manager, on 06/24/2020, AMENDING Ordinance No. 0121-2020, which announced the intent of the City of Cincinnati to use said amounts received from the ESG program for various projects in its Calendar Year 2020 Emergency Solutions Grant Program as part of the 2020-2024 Consolidated Plan and the 2020 Annual Action Plan, to correct the Consolidated Plan and Annual Action Plan to 2015-2019 and 2019, respectively.",,success
46976,202000854,2020-06-24,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,,0204-2020,emergency ordinance,Transfer $1M from Police Budget to Youth Jobs Program,"Transfers $1,015,000 from police budget to expand youth employment program beyond summer jobs.",budget|labor and workforce|public safety,citywide,"ORDINANCE (EMERGENCY), dated 6/24/2020, submitted by Patrick A. Duhaney, City Manager, AMENDING Ordinance No. 0238-1968, which established Citizen Summer Job Fund 308 to provide summer jobs for the youth of the community, to change the name of the fund to Citizens Jobs Fund 308 and expand the purpose to provide jobs for the youth of the community regardless of season; AUTHORIZING the return to the unappropriated surplus of the General Fund  the sum of $1,015,000 from various Cincinnati Police Department operating budget accounts  and the transfer of $1,015,000 from the unappropriated surplus of the General Fund to the Department of Recreation Citizens Jobs Fund 308 operating budget account according to the attached Schedule of Transfer, for the purpose of implementing CouncilÆs recommended changes to the MayorÆs FY 2021 General Fund Operating Budget Update in order to provide funding for youth employment opportunities; and further AUTHORIZING the return to source of $96,000 from the Cincinnati Police DepartmentÆs General Fund operating budget account to the unappropriated surplus of the General Fund.(B Version)",,success
46977,202000835,2020-06-23,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0220-2020,emergency ordinance,First Amendment to Cooperation Agreement with Hamilton County for Banks Development Including Music Venue,Authorizes City Manager to execute agreement amendment with Hamilton County to facilitate Banks development including music venue.,economic development|arts and culture,Downtown,"ORDINANCE (EMERGENCY), dated 6/23/2020, submitted by Patrick A. Duhaney, City Manager, AUTHORIZING THE CITY MANAGER TO EXECUTE A FIRST AMENDMENT TO COOPERATION AGREEMENT WITH THE BOARD OF COUNTY COMMISSIONERS OF HAMILTON COUNTY, OHIO IN ORDER TO FACILITATE THE FUTURE DEVELOPMENT OF THE BANKS, INCLUDING THE DEVELOPMENT OF A MUSIC VENUE.",,success
46978,202000808,2020-06-19,2020-06-24,2020-06-24,"Budget, Finance & Governance Committee",Ordinance,Historical,,0243-2020,emergency ordinance,Amending General Fund transfer ordinance to correct departmental schedule errors,Corrects errors in the schedule of transfers between General Fund operating accounts for three departments.,budget,citywide,"ORDINANCE (EMERGENCY) submitted by Patrick A. Duhaney, City Manager, on 06/22/2020, AMENDING Ordinance No. 0163-2020, which authorized the transfer within the General Fund from and to various operating accounts and the unappropriated surplus of the General Fund, to correct the Schedule of Transfer that contained errors for three departments for which an amended Schedule of Transfer is attached.",,success
46979,202000816,2020-06-22,2020-06-24,2020-06-24,"Budget, Finance & Governance Committee",Ordinance,Historical,,0244-2020,emergency ordinance,Emergency budget transfers for COVID-19 expenses and departmental realignment,Authorizes multiple fund transfers totaling over $8 million for COVID-19 expenses and departmental budget realignment.,budget|health|public safety,citywide,"ORDINANCE (EMERGENCY), dated 6/22/2020, submitted by Patrick A. Duhaney, City Manager, AUTHORIZING the transfer of the sum of $7,590,681 within the General Fund 050, from and to various operating accounts and the unappropriated surplus of the General Fund according to the attached Schedule of Transfer for the purpose of realigning and providing funds for the ongoing needs of City departments; AUTHORIZING the transfer and return to source of the sum of $338,587.78 from Bond Retirement Fund 151 to the unappropriated surplus of General Fund 050 for the purpose of realigning the transfer out needed for the City's FY 2020 General Fund debt service obligations related to the Ohio Police and Fire Pension Fund with the actual debt service payment for FY 2020; AUTHORIZING the transfer and appropriation of the sum of $500,000 from the unappropriated surplus of General Fund 050 to Cincinnati Health District Fund 416 personnel operating budget account no. 416x263x7100 for the purpose of providing funds for COVID-19 related expenses; and further AUTHORIZING the transfer of the sum of $205,338 within the various Restricted Funds, from and to various operating accounts and the appropriation of $262,500 from the unappropriated surplus of various Restricted Funds according to the attached Schedule of Transfer for the purpose of realigning and providing funds for the ongoing needs of City departments.",,success
46980,202000821,2020-06-23,2020-06-24,2020-06-24,"Budget, Finance & Governance Committee",Motion,Historical,,,motion,Redirect police budget increase to youth employment and establish community budget standards,Redirects police budget increase to youth programs and establishes standards for future budget allocation ratios.,budget|public safety|human services,citywide,"MOTION, dated 06/22/2020, submitted by Councilmembers Sittenfeld, Young, Kearney, Seelbach and Landsman; WE MOVE that the increase to the Cincinnati Police Department's existing Fiscal Year 2020 Budget in the City Manager and Mayor's Fiscal Year 2021 Budget be redirected to youth employment and opportunities. WE FURTHER MOVE that this can be achieved by modestly adjusting the projected attrition for Fiscal Year 2021, and by a 1.5 - month delay in the next recruit class. WE FURTER MOVE that as Cincinnati's economy bounces back from the recession caused by COVID0-19, and, in turn, City revenue also grows, that a standard be established and adopted for how each new dollar is allocated as pertains to the ratio of funding for the Cincinnati Police Department versus funding for Human Services, such as housing, health, youth services and employment, social services, violence prevention, and Black and Brown Business support. This forward-looking policy guideline should be created through significant community conversation and engagement with the goal of a more balanced, holistic budget that is proactive rather than reactive in its investment in people.",,success
46981,202000818,2020-06-23,2020-06-24,2020-06-24,"Budget, Finance & Governance Committee",Ordinance,Historical,,0245-2020,emergency ordinance,Accepting NOAA donation for urban heat island mapping project,"Authorizes accepting $10,000 in rental equipment from NOAA for urban heat island mapping project.",environment and sustainability,citywide,"ORDINANCE (EMERGENCY), dated 06/22/2020, submitted by Councilmember Mann, AUTHORIZING the City Manager to apply for and accept an in-kind donation in the form of rental equipment valued at $10,000 from the National Oceanic and Atmospheric Administration for the purpose of completing an urban heat island mapping project.",,success
46982,202000754,2020-06-12,2020-06-24,2020-06-24,"Budget, Finance & Governance Committee",Report,Historical,,,report,Early Retirement Incentive Program Report,City Manager reports on Early Retirement Incentive Program for city employees.,labor and workforce|budget,citywide,"REPORT, dated 6/17/2020, submitted by Patrick A. Duhaney, City Manager, regarding Early Retirement Incentive Program (ERIP). (SEE DOC #202000611)",,success
46983,202000743,2020-06-11,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,,0194-2020,emergency ordinance,African American Chamber of Commerce funding appropriation,"Appropriates $325,000 from General Fund to support African American Chamber of Commerce for fiscal year 2021.",budget|economic development,citywide,"ORDINANCE (EMERGENCY), dated 6/17/2020, submitted by Patrick A. Duhaney, City Manager, PROVIDING for the appropriation of funds and authorization of expenditures from the General Fund 050 in the amount of $325,000 as leveraged support for the African American Chamber of Commerce for the fiscal year beginning July 1, 2020, and ending June 30, 2021, reflecting a portion of the Recommended FY 2021 General Fund Operating Budget totaling $390,669,880, per the attached Schedule of Appropriation, in order to provide for the current expenses and other expenses of the City of Cincinnati.",,success
46984,202000745,2020-06-11,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,,0200-2020,emergency ordinance,Allow Urban Development Fund to pay personnel costs for staff time,Amends urban development fund to allow payment of personnel costs for staff working on development projects.,economic development|budget,citywide,"ORDINANCE (EMERGENCY), dated 6/17/2020, submitted by Patrick A. Duhaney, City Manager, AMENDING Ordinance No. 0229-1963, which established Urban Development Property Operations Fund 317 to account for the proceeds from the rentals and other income from property acquired for urban development projects with expenditures to be made from the fund for the cost of maintaining the property including the payment of real estate taxes, to direct that personnel costs are eligible to be made from the fund for staff time devoted to urban development projects.",,success
46985,202000746,2020-06-11,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,,0193-2020,emergency ordinance,Capital improvement funds transfer and appropriation for various city projects,"Authorizes transfer of $107.3 million for capital improvements including water infrastructure, housing initiatives, and other city projects.",infrastructure|budget|utilities,citywide,"ORDINANCE (EMERGENCY) submitted by Patrick A. Duhaney, City Manager, on 06/17/2020, AUTHORIZING the transfer and appropriation of the sum of $9,113,000 from various restricted and special revenue funds to various capital improvement project accounts in Capital Projects Fund 980 according to Schedule A attached hereto, and by this reference made a part hereof, for the purpose of continuing and completing certain capital improvement projects listed in Schedule A; AUTHORIZING the appropriation of the sum of $25,000,000 from the unappropriated surplus of Water Works Fund 101 to Water Works Capital Improvement Fund 756, for the purpose of continuing funding for the current Capital Improvement Program, which includes new water mains, water main replacements, treatment plant improvements, system development, tanks, pumping stations, and private development; AUTHORIZING the use and expenditure of $67,000,000 for Greater Cincinnati Water Works Capital Improvements; AUTHORIZING the appropriation of the sum of $4,200,000 from the unappropriated surplus of Water Works Fund 101 to Private Lead Service Line Replacement Fund 312 for the purpose of private lead service line replacement; AUTHORIZING the transfer and appropriation of the sum of $2,000,000 from Special Housing Permanent Improvement Fund 761 to capital improvement program project account no. 980x162x211602, ôStrategic Housing Initiatives Program (SHIP)ö; and DECLARING certain capital improvement program projects to be for a public purpose, all for the purpose of carrying out the Capital Improvement Program.",,success
46986,202000762,2020-06-16,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,,0195-2020,emergency ordinance,Transfer funds to Urban League for Rapid Change Initiative matching grant,Redirects $1.3 million from Cincinnati Access Fund to provide matching grant for Urban League's Rapid Change Initiative.,economic development|human services,citywide,"ORDINANCE, (EMERGENCY) submitted by Mayor John Cranley, from Paula Boggs Muething, City Solicitor on 6/15/2020, AUTHORIZING the return to source of the sum of $1,349,717.30 in Cincinnati Access Fund resources from capital improvement program project account no. 980x281x192800, ""Cincinnati Access Fund Loan Loss Program,"" to the Build Cincinnati Development Fund; and further AUTHORIZING the redirection and appropriation of the sum of $1,349,717.30 from the Build Cincinnati Development Fund to the Department of Economic Inclusion's General Fund non-personnel operating budget account 050x281x7400 for the purpose of serving as a matching grant to the Urban League of Greater Southwestern Ohio, Inc. for its Rapid Change Initiative (Black Led & Black Deployment - Trust) and for related administrative expenses.  (MS. KEARNEY IS EXCUSED FROM VOTING ON THIS ITEM).",,success
46987,202000758,2020-06-15,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0231-2020,emergency ordinance,Special assessment levy for Urban Forestry Program for calendar year 2021,"Levies special assessment to fund tree planting, maintenance, trimming and removal in public rights-of-way for 2021.",environment and sustainability|tax policy,citywide,"ORDINANCE (EMERGENCY), dated 6/17/2020, submitted by Patrick A. Duhaney, City Manager, LEVYING a special assessment for the Urban Forestry Program for the calendar year 2021, for control of blight and disease of shade trees and for planting, maintaining, trimming, and removing shade trees within the public right-of-way in the City of Cincinnati Urban Forestry Maintenance District.",,success
46988,202000759,2020-06-15,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0232-2020,emergency ordinance,"Authorize $773,000 for Sawyer Point Fishing Pier Repairs","Establishes funding and appropriates $773,000 to repair the fishing pier at Sawyer Point Park.",parks and recreation|infrastructure,Downtown,"ORDINANCE (EMERGENCY), dated 6/17/2020, submitted by Patrick A. Duhaney, City Manager, AUTHORIZING the establishment of capital improvement program project account no. 980x203x202011, Sawyer Point Fishing Pier for the purpose of repairing the fishing pier at Sawyer Point Park along the riverfront; and AUTHORIZING the transfer and appropriation of up to $773,000 from the unappropriated surplus of Fund No. 318, Sawyer Point to newly established capital improvement program project account no. 980x203x202011, Sawyer Point Fishing Pier.",,success
46989,202000760,2020-06-15,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0233-2020,emergency ordinance,Grant utility easement to Duke Energy at Fairview Park on W. McMicken Avenue,Authorizes granting Duke Energy a utility easement over city property at Fairview Park in CUF neighborhood.,utilities|parks and recreation,Corryville,"ORDINANCE (EMERGENCY), dated 6/17/2020, submitted by Patrick A. Duhaney, City Manager, AUTHORIZING the City Manager to execute a Grant of Easement in favor of Duke Energy Ohio, Inc., granting a utility easement over a portion of City-owned property generally located along W. McMicken Avenue and commonly known as Fairview Park in the CUF neighborhood of Cincinnati.",,success
46990,202000784,2020-06-19,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,,0189-2020,emergency ordinance,FY 2021 General Fund Operating Budget Appropriation of $390.3 Million,Appropriates $390.3 million for FY 2021 General Fund operations and authorizes various budget transfers.,budget,citywide,"ORDINANCE (EMERGENCY), dated 6/22/2020, submitted by Patrick A. Duhaney, City Manager, PROVIDING for the appropriation of funds and authorization of expenditures from the General Fund 050 in the amount of $390,344,880 for the fiscal year beginning July 1, 2020, and ending June 30, 2021, reflecting the Recommended FY 2021 General Fund Operating Budget totaling $390,344,880, per the attached Schedule of Appropriation, in order to provide for the current expenses and other expenses of the City of Cincinnati; AUTHORIZING the transfer of the sum of $3,824,011 from the unappropriated surplus of the General Fund 050 to the unappropriated surplus of the Bond Retirement Fund 151 for the purpose of paying the CityÆs FY 2021 General Fund debt service obligations related to the Ohio Police and Fire Pension Fund in the amount of $2,608,515 and the Early Retirement Incentive Program (ERIP) in the amount of $1,215,496; AUTHORIZING the transfer of the sum of $17,424,736 from the unappropriated surplus of the General Fund 050 to the unappropriated surplus of the Cincinnati Health District Fund 416 for the purpose of providing for the FY 2021 General Fund Operating Budget portion of the expenses of the Cincinnati Health Department; AUTHORIZING the transfer and return to source, General Fund 050, of the sum of $321,500 from capital improvement program project account no. 980x222x190924, ôAutomatic Vehicle Location System,ö for the purpose of providing resources for the FY 2021 General Fund Operating Budget; AUTHORIZING the transfer and return to source, General Fund 050, of the sum of $266,000 from capital improvement program project account no. 980x222x190928, ô900 MHz Microwave Radio Network Replacement,ö for the purpose of providing resources for the FY 2021 General Fund Operating Budget; AUTHORIZING the transfer and return to source, General Fund 050, of the sum of $312,500 from capital improvement program project account no. 980x222x192208, ôShotSpotter Expansion,ö for the purpose of providing resources to pay for the contractual expenses of the ShotSpotter project in the FY 2021 General Fund Operating Budget; and further ESTABLISHING the annual inflationary amount applied to the fees charged for services related to permitting and property maintenance by the Department of Buildings and Inspections at 1.81%.",,success
46991,202000785,2020-06-19,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,,0191-2020,emergency ordinance,FY 2021 Restricted Revenue Funds Appropriation and Fund Transfers,Appropriates $464.4 million from restricted revenue funds and authorizes various fund transfers for fiscal year 2021.,budget,citywide,"ORDINANCE (EMERGENCY) (VERSION B) submitted by Patrick A. Duhaney, City Manager, on 06/22/2020, PROVIDING for the appropriation for the current expenses and other expenditures of the Restricted Revenue Funds of the City of Cincinnati in the total amount of $464,466,110, specifically from the Water Works Fund; the Parking System Facilities Fund; the Convention Center Fund; the General Aviation Fund; the Municipal Golf Fund; the Stormwater Management Fund; the Bond Retirement Fund; the Street Construction, Maintenance and Repair Fund; the Income Tax-Infrastructure Fund; the Parking Meter Fund; the Municipal Motor Vehicle License Tax Fund; the Sawyer Point Fund; the Recreation Special Activities Fund; the Cincinnati Riverfront Park Fund; the Hazard Abatement Fund; the Bond Hill Roselawn Stabilization & Revitalization Operations Fund; the 9-1-1 Cell Phone Fees Fund; the Safe and Clean Fund; the Community Health Center Activities Fund; the Cincinnati Health District Fund; the Cincinnati Area Geographic Information System (CAGIS) Fund; the County Law Enforcement Applied Regionally (CLEAR) Fund; and the Income Tax-Transit Fund for operating requirements, capital outlay, and debt service for the fiscal year beginning July 1, 2020 and ending June 30, 2021; AUTHORIZING the transfer of the sum of $111,970 from the unappropriated surplus of the Street Construction, Maintenance, and Repair Fund to the unappropriated surplus of the Bond Retirement Fund for the purpose of paying the CityÆs FY 2021 General Fund Debt Service obligations related to bonds issued to fund Public Building Improvement Bonds for the purpose of energy improvements in the amount of $80,665 and the Early Retirement Incentive Program in the amount of $31,305; AUTHORIZING the transfer of the sum of $884,220 from the unappropriated surplus of the Income Tax-Infrastructure Fund to the unappropriated surplus of the Bond Retirement Fund for the purpose of paying the CityÆs FY 2021 General Fund Debt Service obligations related to bonds issued to fund Public Building Improvement Bonds in the amount of $690,770 and the Early Retirement Incentive Program in the amount of $193,450; AUTHORIZING the transfer of the sum of $39,620 from the unappropriated surplus of the Motor Vehicle License Tax Fund to the unappropriated surplus of the Bond Retirement Fund for the purpose of paying the CityÆs FY 2021 General Fund Debt Service obligations related to bonds issued to fund Public Building Improvement Bonds in the amount of $3,773 and the Early Retirement Incentive Program in the amount of $35,847; AUTHORIZING the transfer of the sum of $20,000 from the unappropriated surplus of the County Law Enforcement Applied Regionally (CLEAR) Fund to the unappropriated surplus of the Bond Retirement Fund for the purpose of paying the CityÆs FY 2021 General Fund Debt Service obligations related to bonds issued to fund the Early Retirement Incentive Program; and AUTHORIZING the transfer of the sum of $50,000 from the unappropriated surplus of the Parking System Facilities Fund to reserve account 102x3441 ""U-Square Garage û Reserve for Capital Projects,"" the transfer of the sum of $20,000 from the unappropriated surplus of the Parking System Facilities Fund to reserve account 102x3442 ""VP3 Garage û Reserve for Capital Projects,"" and the transfer of the sum of $20,000 from the unappropriated surplus of the Parking System Facilities Fund to reserve account 102x3443 ""Hampton Inn Garage û Reserve for Capital Projects"" for the purpose of making contractually obligated payments for repairs for each identified garage.",,success
46992,202000786,2020-06-19,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0235-2020,emergency ordinance,Establishing COVID-19 Fund for Pandemic Expense Reimbursements,Creates new fund to receive and manage COVID-19 pandemic expense reimbursements from various sources.,budget|health,citywide,"ORDINANCE (EMERGENCY), dated 6/22/2020, submitted by Patrick A. Duhaney, City Manager, ESTABLISHING new Fund 473, ôCOVID-19 for receipt of funds from various sources earmarked for reimbursement of expenses due to the COVID-19 pandemic.",,success
46993,202000787,2020-06-19,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0236-2020,emergency ordinance,Accept FEMA grant for Cincinnati Fire Department gear washer and drying cabinets,"Authorizes accepting $105,151 FEMA grant to purchase firefighter gear washing and drying equipment.",public safety,citywide,"ORDINANCE (EMERGENCY), dated 4/22/2020, submitted by Patrick A. Duhaney, City Manager, AUTHORIZING the City Manager to apply for, accept, and appropriate a grant of up to $105,151 from the Department of Homeland Security, Federal Emergency Management Agency, FY 2019 Assistance to Firefighters Grant Program (CFDA No. 97.044), which funds will be used by the Cincinnati Fire Department to purchase a gear washer/extractor and six gear drying cabinets.",,success
46994,202000792,2020-06-19,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0241-2020,emergency ordinance,FEMA SAFER Grant for 40 Fire Department Recruits,Authorizes accepting $10.9 million federal grant to fund 40 Cincinnati Fire Department recruits for three years.,public safety|budget,citywide,"ORDINANCE (EMERGENCY), dated 6/22/2020, submitted by Patrick A. Duhaney, City Manager, AUTHORIZING the City Manager to apply for, accept, and appropriate a grant of up to $10,919,160 from the Department of Homeland Security, Federal Emergency Management Agency, FY 2019 Staffing for Adequate Fire and Emergency Response (SAFER) Grant Program (CFDA No. 97.083) to fully fund the salary and benefits of up to 40 recruits for the Cincinnati Fire Department for three years; further AUTHORIZING the Finance Director to receive and deposit the grant funds into Fire Grants Fund 472.",,success
46995,202000794,2020-06-19,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0242-2020,emergency ordinance,Community Development Block Grant Fund Reallocation for 2020 Programs,Reallocates $8.3 million in Community Development Block Grant funds from health crisis response to various community development programs.,budget|human services,citywide,"ORDINANCE (EMERGENCY) submitted by Patrick A. Duhaney, City Manager, on 06/22/2020, AUTHORIZING the return to source of the sum of $8,320,298.43 from Community Development Block Grant Fund 304 project account no. 304x161x30420888, Urgent Public Health Crisis Response Program; AUTHORIZING the appropriation of the sum of $8,320,298.43 from the unappropriated surplus of Community Development Block Grant Fund 304 to the various Community Development Block Grant Fund 304 project accounts as set forth in the attached Appropriation Schedule for the purpose of aligning resources with program needs; and ANNOUNCING the City intention to use the funds as herein appropriated for various projects in the City Calendar Year 2020 Community Development Block Grant Program as part of the 2020-2024 Consolidated Plan and 2020 Annual Action Plan.",,success
46996,202000795,2020-06-19,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,,0201-2020,emergency ordinance,Affirming Compliance with Federal Requirements for Coronavirus Relief Funds,Affirms Cincinnati will use coronavirus relief funds only for federally compliant expenses and follow all restrictions.,budget|health,citywide,"ORDINANCE (EMERGENCY), dated 6/22/2020, submitted by Patrick A. Duhaney, City Manager, AFFIRMING that the City of Cincinnati shall expend all funds received from the County Coronavirus Relief Distribution Fund pursuant to Amended Substitute House Bill 481 of the 133rd General Assembly only to cover costs of the City consistent with the requirements of section 5001 of the Coronavirus Aid, Relief, and Economic Security Act as described in 42 U.S.C. 601(d), including any applicable regulations and guidance, and shall comply with all other federal or state restrictions applicable to any such received funds.",,success
46997,202000796,2020-06-19,2020-06-24,2020-06-24,"Budget, Finance & Governance Committee",Report,Historical,,,report,Allocation of Neighborhood Support Program Funds Report,City Manager reports on the allocation of Neighborhood Support Program funding.,budget|human services,citywide,"REPORT, dated 6/22/2020, submitted by Patrick A. Duhaney, City Manager, on the Allocation of Neighborhood Support Program Funds.  (SEE DOC. #202000196)",,success
46998,202000802,2020-06-19,2020-06-24,2020-06-24,"Budget, Finance & Governance Committee",Ordinance,Passed Emergency,Budget and Finance Committee,0215-2020,emergency ordinance,"Issuance of $1,864,000 Notes for Public Building Improvements","Authorizes issuing $1,864,000 in notes to fund public building improvements citywide.",budget|infrastructure,citywide,"ORDINANCE (EMERGENCY) submitted by Patrick A. Duhaney, City Manager, on 06/22/2020, PROVIDING FOR THE ISSUANCE OF NOTES IN THE PRINCIPAL AMOUNT OF $1,864,000 BY THE CITY OF CINCINNATI IN ANTICIPATION OF THE ISSUANCE OF BONDS, AND TO PROVIDE FUNDS FOR PUBLIC BUILDING IMPROVEMENTS.",,success
46999,202000803,2020-06-19,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0216-2020,emergency ordinance,"Issuance of $1,864,000 notes for public building improvements",Authorizes issuing $1.86 million in notes to fund public building improvements citywide.,budget|infrastructure,citywide,"ORDINANCE (EMERGENCY) submitted by Patrick A. Duhaney, City Manager, on 06/22/2020, PROVIDING FOR THE ISSUANCE OF NOTES IN THE PRINCIPAL AMOUNT OF $1,864,000 BY THE CITY OF CINCINNATI IN ANTICIPATION OF THE ISSUANCE OF BONDS, AND TO PROVIDE FUNDS FOR PUBLIC BUILDING IMPROVEMENTS.",,success
47000,202000804,2020-06-19,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0217-2020,emergency ordinance,Bond Issuance for Street Improvements,"Authorizes $11,275,000 in bonds for citywide street improvements.",infrastructure|budget,citywide,"ORDINANCE (EMERGENCY) submitted by Patrick A. Duhaney, City Manager, on 06/22/2020, PROVIDING FOR THE ISSUANCE OF BONDS OR NOTES IN ANTICIPATION OF SUCH BONDS, BY THE CITY OF CINCINNATI, OHIO IN THE PRINCIPAL AMOUNT OF $11,275,000 FOR THE PURPOSE OF MAKING STREET IMPROVEMENTS.",,success
